timer,fight_result,has_round_started,is_round_over,p1_id,p1_health,p1_x,p1_y,p1_jumping,p1_crouching,p1_in_move,p1_move_id,p2_id,p2_health,p2_x,p2_y,p2_jumping,p2_crouching,p2_in_move,p2_move_id,p1_btn_up,p1_btn_down,p1_btn_right,p1_btn_left,p1_btn_Y,p1_btn_B,p1_btn_X,p1_btn_A,p1_btn_L,p1_btn_R,p2_btn_up,p2_btn_down,p2_btn_right,p2_btn_left,p2_btn_Y,p2_btn_B,p2_btn_X,p2_btn_A,p2_btn_L,p2_btn_R
34,P2_WIN,False,False,2,95,256,247,True,True,False,15,7,79,246,1,True,False,False,19,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False
7,P1_WIN,True,False,10,156,375,163,True,True,True,3,9,100,407,191,True,True,True,15,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,True,False,False,False,False
95,P2_WIN,False,True,4,68,98,139,True,False,True,3,4,150,143,56,True,True,True,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
86,NOT_OVER,True,True,8,44,131,35,False,False,True,18,11,166,90,201,False,True,True,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36,P2_WIN,True,False,8,145,46,232,True,False,True,0,4,53,373,2,False,True,True,10,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
6,P1_WIN,True,False,4,46,408,193,False,False,False,17,10,108,4,118,False,True,False,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
85,P1_WIN,True,False,0,50,172,204,False,False,True,16,7,31,33,91,True,False,True,1,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
98,NOT_OVER,False,True,7,78,29,246,False,True,True,4,3,137,183,144,False,True,False,19,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5,P1_WIN,False,False,5,148,325,0,True,True,False,13,1,77,217,44,True,True,False,14,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
18,P1_WIN,False,True,2,14,191,216,True,True,False,9,6,16,230,85,False,False,False,16,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
70,P2_WIN,False,False,10,61,349,94,False,True,True,2,2,30,39,228,False,False,True,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
37,P1_WIN,True,True,3,76,258,160,False,False,False,9,4,150,137,171,False,True,False,1,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
14,P1_WIN,True,True,4,4,338,122,False,False,False,3,8,41,88,145,False,False,True,7,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
36,NOT_OVER,False,True,0,154,438,32,False,False,False,1,9,4,122,73,True,False,False,12,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
12,P1_WIN,True,False,1,110,103,59,True,False,False,3,3,132,375,36,False,True,False,16,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41,P2_WIN,True,False,8,89,74,37,False,True,False,1,10,16,127,170,True,False,True,18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
56,P2_WIN,False,False,0,172,285,143,False,True,False,0,2,174,193,245,False,True,False,5,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
51,NOT_OVER,False,True,7,161,290,95,False,False,False,13,10,143,164,181,True,False,True,15,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
86,NOT_OVER,False,False,7,58,214,127,False,True,False,18,0,13,8,39,False,True,True,6,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
98,NOT_OVER,True,True,6,137,172,144,False,True,False,13,1,53,362,192,True,True,False,18,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
73,NOT_OVER,False,True,0,60,426,103,False,True,True,2,2,107,171,178,False,False,False,11,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False
10,P2_WIN,True,True,9,85,249,134,False,True,True,6,8,114,175,71,False,True,True,17,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
66,P2_WIN,True,False,1,157,250,246,True,True,False,2,10,38,301,243,True,False,True,11,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
37,NOT_OVER,True,True,11,38,439,62,False,False,True,12,1,152,198,51,False,True,False,19,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
99,P1_WIN,True,False,8,72,67,141,True,False,True,8,7,66,122,219,True,True,True,1,False,True,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
98,P2_WIN,True,True,0,5,215,146,False,False,False,0,10,58,303,168,True,True,True,9,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False
98,NOT_OVER,True,False,5,157,73,232,False,False,True,14,4,21,195,147,False,False,False,3,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
46,P1_WIN,True,False,0,98,396,232,True,True,True,10,3,31,129,174,False,False,False,10,False,False,True,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,False,False
46,NOT_OVER,True,True,4,7,78,26,False,False,False,6,2,92,447,171,True,False,False,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
11,NOT_OVER,True,True,11,101,424,135,True,False,True,8,0,75,376,45,False,True,False,19,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
73,P2_WIN,True,False,8,113,203,7,False,False,False,19,10,126,6,202,False,False,False,5,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
96,NOT_OVER,True,True,11,34,444,92,False,True,True,0,6,75,304,93,True,True,False,19,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
26,P1_WIN,True,False,11,13,333,1,True,True,True,5,8,61,315,124,True,False,False,6,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
43,NOT_OVER,True,False,5,27,120,106,True,True,True,11,4,48,119,43,False,False,True,14,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
39,P2_WIN,False,True,10,150,427,37,False,True,False,12,3,79,433,233,False,True,False,17,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False
48,NOT_OVER,True,False,11,62,72,160,True,True,False,12,8,76,158,232,True,False,False,5,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
99,P1_WIN,False,False,1,173,264,2,True,False,False,15,1,155,116,220,False,True,False,4,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
52,P1_WIN,True,True,11,34,135,143,False,False,False,17,1,76,131,89,True,False,True,6,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
42,NOT_OVER,False,True,4,67,49,151,True,False,False,6,9,88,145,146,False,False,True,17,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
75,P2_WIN,False,False,2,67,217,101,False,False,True,12,3,96,163,130,True,False,True,5,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
36,NOT_OVER,True,True,8,54,207,105,False,False,True,15,11,144,399,139,False,False,True,15,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,P2_WIN,True,True,0,74,322,179,False,True,False,3,1,54,261,162,False,True,True,4,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
33,P2_WIN,False,True,5,124,435,130,True,True,False,12,4,135,404,225,False,True,True,3,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
87,P2_WIN,True,True,4,72,155,189,False,True,True,15,11,96,259,3,True,False,True,4,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
58,P2_WIN,True,True,4,81,172,159,False,True,True,16,11,138,190,148,False,False,True,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
8,P2_WIN,False,False,0,78,400,187,True,False,True,18,4,159,427,192,True,True,False,12,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
92,NOT_OVER,True,False,7,152,328,193,True,False,True,16,3,125,323,77,True,True,True,17,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
51,P1_WIN,True,False,4,121,31,221,True,True,True,11,8,174,17,148,True,False,True,7,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
19,P2_WIN,True,False,6,107,366,24,False,True,True,7,9,143,71,128,False,True,True,0,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
95,P2_WIN,False,False,2,100,185,131,True,True,False,19,9,23,226,153,True,False,True,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
24,NOT_OVER,False,False,9,116,414,99,False,True,False,12,3,93,182,112,True,True,False,19,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
70,NOT_OVER,True,True,2,146,425,34,False,False,True,4,4,48,404,73,False,True,False,5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16,P1_WIN,True,False,8,69,43,72,True,False,False,10,3,81,249,106,True,True,False,17,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,False
61,NOT_OVER,True,False,4,126,326,85,True,True,True,1,11,42,168,166,False,True,True,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
68,P1_WIN,False,False,7,78,213,115,False,False,True,8,7,57,283,25,True,True,False,2,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
84,P1_WIN,False,False,6,79,386,108,True,True,False,10,7,160,219,128,True,False,False,4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
68,NOT_OVER,False,False,9,125,132,226,True,False,True,8,3,133,210,59,False,True,True,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
15,P2_WIN,True,True,3,124,271,161,False,True,False,14,6,147,123,0,False,True,True,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
72,P1_WIN,True,True,10,83,368,24,False,False,False,5,6,149,431,248,True,False,True,2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
94,NOT_OVER,False,True,3,7,1,104,True,False,False,8,7,126,254,182,False,True,False,16,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
15,NOT_OVER,True,False,3,92,405,231,True,True,False,19,8,156,178,131,True,True,False,3,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False
84,NOT_OVER,True,True,5,48,301,112,False,False,True,19,11,96,89,38,True,True,True,9,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
33,NOT_OVER,False,True,11,7,152,90,False,True,False,12,6,174,339,81,False,False,False,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2,NOT_OVER,False,True,7,1,80,168,False,False,True,10,0,54,300,206,False,True,True,16,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
33,P2_WIN,False,False,11,164,6,195,True,False,True,0,3,18,156,201,False,False,False,2,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
51,P1_WIN,False,True,4,29,425,228,False,True,True,9,11,100,34,86,False,False,False,8,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False
68,P2_WIN,True,False,7,124,396,110,False,True,False,18,0,98,251,81,False,False,True,18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
48,P1_WIN,True,True,9,101,74,160,False,False,True,14,10,81,91,178,True,True,True,3,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
21,P1_WIN,True,False,2,29,56,221,True,True,True,17,7,25,112,231,True,False,True,2,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
34,NOT_OVER,True,True,10,101,15,65,False,True,True,1,9,123,143,101,False,False,False,12,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False
72,P1_WIN,False,False,1,13,177,155,False,False,True,14,5,29,190,3,True,True,True,7,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
65,P2_WIN,True,True,10,161,427,195,False,False,True,18,2,111,55,203,True,True,True,0,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,False
18,P1_WIN,True,False,8,123,12,209,True,True,False,1,8,72,165,202,False,False,False,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,NOT_OVER,False,False,1,80,355,141,False,True,True,2,5,16,267,181,False,False,True,10,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
12,P2_WIN,True,False,6,110,306,200,False,True,False,0,6,44,213,58,False,False,True,8,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
77,NOT_OVER,False,False,3,94,411,202,True,True,True,14,3,101,215,181,False,True,True,8,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8,NOT_OVER,True,False,0,74,332,49,True,True,False,11,5,168,271,67,True,False,False,11,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
59,P1_WIN,False,True,5,43,136,164,False,False,True,9,10,169,251,103,False,True,False,15,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
93,NOT_OVER,True,False,3,113,256,57,False,True,False,19,6,9,314,202,True,True,True,0,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
41,P2_WIN,False,True,11,67,377,14,True,True,True,2,7,26,39,190,True,False,False,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
76,P1_WIN,True,True,3,168,396,86,False,False,False,4,8,111,410,178,False,True,False,15,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
65,P2_WIN,True,True,3,80,382,87,False,False,True,6,10,0,406,121,True,True,False,16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
33,P1_WIN,False,True,6,131,215,58,True,True,False,0,0,167,338,244,True,True,True,15,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
97,NOT_OVER,False,False,4,74,388,26,False,True,False,0,4,56,411,77,True,False,False,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
17,P1_WIN,False,False,4,155,317,168,True,False,False,19,8,70,386,9,False,True,True,15,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
59,P2_WIN,False,False,3,64,82,153,True,False,True,14,10,149,434,47,True,True,False,3,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
15,NOT_OVER,True,True,10,153,402,247,False,True,True,8,9,167,38,112,True,True,True,19,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
91,P1_WIN,False,True,9,72,389,106,True,True,True,0,5,36,136,81,False,True,True,1,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1,P1_WIN,False,True,4,91,20,241,True,True,True,14,3,82,290,195,True,True,False,11,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
5,P1_WIN,True,True,11,157,312,126,False,True,True,14,4,86,140,159,False,False,True,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,P1_WIN,True,False,11,151,71,106,True,True,True,0,0,18,194,73,False,True,False,0,False,True,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False
3,P2_WIN,True,True,10,159,281,123,False,True,False,8,7,55,320,92,True,False,False,8,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
45,P1_WIN,False,True,5,78,19,191,True,True,False,2,2,2,181,205,False,False,True,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
83,NOT_OVER,True,True,11,8,382,219,False,True,False,16,6,130,276,63,False,False,False,4,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
62,P1_WIN,True,True,2,165,221,60,True,False,True,13,10,99,390,21,False,True,True,14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
71,NOT_OVER,False,False,1,7,330,224,False,True,False,5,10,19,139,42,True,True,True,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,NOT_OVER,True,True,9,82,24,67,True,True,True,18,10,73,60,170,True,False,False,18,True,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,False,True
59,P2_WIN,True,True,5,149,338,64,False,True,False,0,7,149,213,241,True,True,True,13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,P1_WIN,False,True,3,115,438,143,False,False,True,6,10,175,154,180,True,False,False,8,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
88,P1_WIN,False,False,4,83,386,36,False,True,False,7,7,55,406,103,True,False,False,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
24,P2_WIN,False,False,11,86,144,64,True,True,True,9,8,105,180,183,False,True,False,12,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
39,P2_WIN,True,False,7,140,364,80,True,True,False,18,8,89,269,94,False,False,False,6,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
93,P2_WIN,True,False,3,88,126,168,True,False,True,19,6,126,405,131,True,True,True,9,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,P1_WIN,True,True,1,93,337,12,True,True,False,15,6,80,423,210,False,True,True,19,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
11,P2_WIN,True,True,0,159,220,212,True,False,True,5,5,101,420,236,False,True,False,7,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
60,P1_WIN,True,False,11,98,237,103,False,True,False,0,9,47,295,96,True,False,False,15,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
35,NOT_OVER,True,False,9,174,161,214,True,False,False,11,6,131,86,175,True,False,True,1,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
92,P2_WIN,False,False,6,39,241,137,True,False,True,7,6,60,191,4,False,True,True,4,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
31,NOT_OVER,False,True,6,21,39,100,True,True,True,9,5,169,404,78,True,False,False,2,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
89,P1_WIN,False,True,4,19,389,197,True,False,False,17,3,16,248,13,False,True,True,11,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
68,P2_WIN,False,False,3,172,345,27,False,True,False,2,5,135,279,14,True,True,True,6,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
32,P1_WIN,False,True,7,121,95,200,True,False,False,5,7,122,446,66,False,True,True,16,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
69,P2_WIN,False,False,6,29,280,155,False,True,False,15,8,73,205,233,True,False,False,8,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
47,P2_WIN,False,False,11,76,387,230,False,False,False,14,7,6,190,110,True,False,True,7,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
52,P2_WIN,True,False,4,63,164,26,True,False,True,19,8,69,318,163,False,False,False,15,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
75,NOT_OVER,False,False,3,43,289,76,False,True,False,6,3,146,158,127,True,True,True,18,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
53,P1_WIN,True,False,9,23,259,107,True,False,True,7,1,170,330,236,True,False,True,9,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
32,P1_WIN,True,False,11,167,72,75,False,True,False,1,3,38,59,65,True,True,False,3,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
56,NOT_OVER,False,True,3,147,17,37,True,True,False,12,10,143,186,196,False,True,False,18,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
83,P1_WIN,False,False,6,31,423,140,True,False,True,4,8,28,325,152,True,False,False,12,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
33,P2_WIN,False,True,4,107,203,211,True,False,True,6,3,18,101,218,True,True,True,12,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
38,P1_WIN,True,True,5,173,371,229,True,False,False,0,2,71,442,51,False,True,False,6,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False
23,P1_WIN,False,True,8,25,408,53,True,True,True,3,2,29,347,16,True,False,False,19,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
53,P1_WIN,False,True,3,170,217,3,True,True,False,17,8,34,7,151,True,False,False,19,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
71,NOT_OVER,True,True,9,89,86,89,True,False,False,11,7,151,85,18,True,False,True,4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
95,P1_WIN,True,False,10,112,97,92,False,False,False,11,5,169,24,246,True,True,True,15,True,False,True,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,False
38,NOT_OVER,True,True,2,135,7,246,False,False,True,3,2,84,44,135,True,False,True,2,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
43,P1_WIN,True,True,10,24,17,189,True,True,False,17,10,62,440,91,True,False,True,14,False,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
55,P2_WIN,True,True,6,52,25,237,False,False,True,11,7,50,426,118,False,True,False,18,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False
86,NOT_OVER,False,False,4,152,64,133,True,True,False,10,10,150,351,157,True,True,False,14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,NOT_OVER,False,True,9,40,133,74,True,True,False,5,10,141,321,167,True,True,True,2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
55,P1_WIN,False,True,5,20,121,69,False,True,False,10,6,30,9,29,True,False,False,19,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9,P1_WIN,True,True,2,41,396,163,False,True,False,4,9,72,307,198,False,False,False,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
59,P2_WIN,False,True,7,104,323,14,True,False,True,2,6,13,432,210,False,False,True,18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
98,P2_WIN,True,False,2,89,175,20,False,False,True,7,2,19,111,223,False,True,True,8,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
48,P2_WIN,False,True,2,115,269,190,False,True,True,16,11,23,115,150,False,False,False,13,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
31,NOT_OVER,True,False,7,90,309,129,True,True,False,19,4,21,290,228,False,False,False,16,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
97,P1_WIN,True,True,0,0,215,131,False,True,False,10,10,31,160,27,False,True,True,3,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
70,P1_WIN,False,True,3,48,51,113,True,True,True,13,8,174,331,41,True,False,True,5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
17,P1_WIN,False,True,8,109,439,21,True,False,True,18,8,171,290,113,True,True,False,5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,P1_WIN,False,False,0,139,325,149,False,True,False,0,5,57,197,210,False,False,True,0,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
23,P2_WIN,True,False,1,42,390,104,True,True,False,19,5,102,9,70,False,False,False,3,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
90,NOT_OVER,True,False,8,100,175,170,True,False,True,12,7,167,365,119,True,True,False,4,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
4,P1_WIN,True,False,7,119,46,106,False,True,True,14,10,14,246,18,False,False,False,13,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
10,P1_WIN,False,False,9,156,347,133,False,False,False,6,8,77,298,153,False,False,True,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
48,P1_WIN,False,False,10,45,386,182,False,False,False,3,2,161,43,237,False,True,False,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False
21,NOT_OVER,True,True,5,71,105,215,True,True,True,13,6,13,265,139,False,False,True,13,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
